/* DATA DESCRIPTION:
Citation:	Martínez‐García, Alfredo; Rosell-Melé, Antoni; Jaccard, Samuel L; Geibert, Walter; Sigman, Daniel M; Haug, Gerald H (2011): (Fig. 2, 3) Iron and dust accumulation rates of ODP Site 177-1090 [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.767458, 
	In supplement to: Martínez‐García, A et al. (2011): Southern Ocean dust-climate coupling over the past four million years. Nature, 476(7360), 312-316, https://doi.org/10.1038/nature10310
Project(s):	Ocean Drilling Program (ODP) (URI: http://www-odp.tamu.edu/)
Coverage:	LATITUDE: -42.913617 * LONGITUDE: 8.899817
	DATE/TIME START: 1997-12-25T00:00:00 * DATE/TIME END: 1997-12-25T00:00:00
	MINIMUM ELEVATION: -3701.6 m * MAXIMUM ELEVATION: -3701.6 m
Event(s):	177-1090 * LATITUDE: -42.913617 * LONGITUDE: 8.899817 * DATE/TIME: 1997-12-25T00:00:00 * ELEVATION: -3701.6 m * Penetration: 936.4 m * Recovery: 874.9 m * LOCATION: South Atlantic Ocean * CAMPAIGN: Leg177 (URI: https://doi.org/10.2973/odp.proc.ir.177.1999) * BASIS: Joides Resolution (URI: http://www-odp.tamu.edu/resolutn.html) * METHOD/DEVICE: Composite Core (COMPCORE) * COMMENT: 101 cores; 936.4 m cored; 0 m drilled; 93.4% recovery
Parameter(s):	AGE [ka BP] (Age) * GEOCODE
	Accumulation rate, iron per year [mg/m**2/a] (Acc rate Fe) * PI: Martínez‐García, Alfredo * METHOD/DEVICE: Calculated
	Accumulation rate, dust [g/cm**2/ka] (DMAR) * PI: Martínez‐García, Alfredo * METHOD/DEVICE: Calculated * COMMENT: 0.3% Ti
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	12330 data points
*/
Age [ka BP]	Acc rate Fe [mg/m**2/a]	DMAR [g/cm**2/ka]
230.26	71.04	2.38
230.75	71.48	2.35
231.23	60.79	2.28
231.72	68.21	2.62
232.20	70.04	2.46
232.69	78.32	2.74
233.17	78.13	2.87
233.66	81.85	3.32
234.14	82.10	2.91
234.63	78.98	2.99
235.11	79.80	3.04
235.60	79.99	2.41
236.08	72.57	2.72
236.57	85.43	2.44
237.05	84.48	2.54
237.54	83.45	2.49
238.02	86.47	2.62
238.51	87.66	3.03
239.00	88.79	2.38
239.48	85.26	2.58
239.97	85.04	2.41
240.45	81.41	2.36
240.94	82.58	2.19
241.42	82.67	2.18
241.91	80.88	2.11
242.39	77.07	2.19
242.88	72.52	2.06
243.36	74.89	1.95
243.85	84.52	2.38
244.33	90.36	2.79
244.82	92.11	2.54
245.30	84.84	2.50
245.79	85.41	2.32
246.27	106.83	3.11
246.76	116.64	3.34
247.24	107.80	3.05
247.73	125.06	3.56
248.21	123.65	3.59
248.70	124.70	3.60
249.12	136.37	3.86
249.53	144.71	3.84
249.93	153.05	4.24
250.34	154.80	4.20
250.75	161.89	4.50
251.16	153.85	4.75
251.57	148.74	4.73
251.98	161.89	4.61
252.39	183.56	5.25
252.79	188.31	5.33
253.20	198.81	4.80
253.61	204.78	5.86
254.02	237.11	5.24
254.43	204.56	4.80
254.84	167.01	5.37
255.25	168.69	4.90
255.65	105.00	3.01
256.33	95.66	2.61
257.08	93.67	2.48
257.84	81.45	2.47
258.59	83.33	2.62
259.34	79.61	2.54
260.09	79.78	2.38
260.84	92.37	2.82
261.60	98.91	2.55
262.35	94.71	2.28
263.10	118.86	1.91
263.85	109.44	2.78
264.46	231.22	5.73
264.69	252.31	7.28
264.93	299.49	8.09
265.16	326.85	8.44
265.40	320.27	8.79
265.63	300.33	9.10
265.87	285.51	9.13
266.10	308.04	9.28
266.34	328.34	10.10
266.57	348.10	9.66
266.81	436.08	10.21
267.04	381.69	11.54
267.28	341.79	11.10
267.51	324.98	10.16
267.75	297.61	8.53
267.98	356.29	9.27
268.22	420.83	9.71
268.45	353.08	10.05
268.69	403.59	11.56
268.92	417.11	11.58
269.16	394.13	11.87
269.39	381.35	11.94
269.63	415.88	12.33
269.86	414.98	11.99
270.10	418.12	12.76
270.33	473.19	15.76
270.57	490.17	15.90
270.80	509.72	15.12
271.04	492.94	14.99
271.27	519.09	16.12
271.51	562.92	17.86
271.74	560.81	17.41
271.98	541.73	16.63
272.22	553.49	15.65
272.45	543.92	17.51
272.69	605.40	17.57
272.92	568.38	17.02
273.16	541.45	17.86
273.39	434.51	13.47
273.63	467.36	15.59
273.86	438.17	14.53
274.10	416.98	13.89
274.33	361.52	10.68
274.57	362.86	12.21
274.80	344.66	9.97
275.04	321.37	8.83
275.27	316.42	9.33
275.51	275.12	8.68
275.74	281.49	7.90
275.98	265.14	7.88
276.21	306.02	9.37
276.45	420.19	11.80
